date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2022/10/27,7,20,19,2,0.24,32,22
2022/10/28,20,61,37,2,0.48,9,55
2022/10/29,37,81,39,2,0.64,13,65
2022/10/30,70,108,41,2,0.61,19,94
2022/10/31,24,41,19,2,0.28,41,42
2022/11/1,9,25,26,2,0.25,32,26
2022/11/2,32,67,35,2,0.45,27,58
2022/11/3,24,47,21,2,0.47,34,45
2022/11/4,12,27,19,2,0.23,41,28
2022/11/5,28,56,35,2,0.37,27,50
2022/11/6,79,124,52,2,0.7,18,106
2022/11/7,32,52,30,2,0.42,34,52
2022/11/8,35,68,43,2,0.5,25,58
2022/11/9,75,115,52,2,0.69,22,101
2022/11/10,87,110,32,2,0.79,47,115
2022/11/11,101,127,38,2,1.51,11,135
2022/11/12,3,5,11,2,0.37,42,16
2022/11/13,7,13,17,2,0.2,38,18
2022/11/14,27,54,40,2,0.45,11,50
2022/11/15,19,39,32,2,0.43,28,38
2022/11/16,19,44,38,2,0.44,20,39
2022/11/17,58,97,48,2,0.66,14,83
2022/11/18,83,123,49,3,0.99,14,111
2022/11/19,97,141,44,2,0.97,25,128
2022/11/20,114,169,43,2,1.03,8,151
2022/11/21,39,68,27,2,0.52,24,58
2022/11/22,40,72,38,2,0.61,18,61
2022/11/23,71,106,40,2,0.73,17,95
2022/11/24,116,162,49,2,0.97,8,155
2022/11/25,57,94,24,2,0.55,39,89
2022/11/26,5,22,12,2,0.19,49,23
2022/11/27,18,40,27,2,0.41,27,39
2022/11/28,31,99,20,2,0.34,33,75
2022/11/29,8,43,2,2,0.19,49,42
2022/11/30,8,31,7,2,0.26,47,31
2022/12/1,11,32,12,2,0.22,42,32
2022/12/2,35,69,40,3,0.54,11,59
2022/12/3,12,30,15,2,0.24,46,29
2022/12/4,14,31,24,2,0.28,33,30
2022/12/5,22,46,31,2,0.38,24,44
2022/12/6,25,53,37,2,0.45,23,51
2022/12/7,21,44,38,2,0.43,25,42
2022/12/8,22,46,35,2,0.45,24,44
2022/12/9,42,73,43,3,0.53,20,65
2022/12/10,8,20,9,2,0.18,59,25
2022/12/11,10,23,21,2,0.24,46,25
2022/12/12,140,642,18,2,0.28,46,363
2022/12/13,21,123,3,2,0.18,59,92
2022/12/14,17,61,25,2,0.33,30,55
2022/12/15,11,39,15,2,0.21,42,37
2022/12/16,7,23,9,2,0.19,49,24
2022/12/17,5,30,3,2,0.11,58,30
2022/12/18,12,39,24,2,0.24,33,38
2022/12/19,20,49,38,2,0.37,20,48
2022/12/20,30,67,43,3,0.5,18,58
2022/12/21,7,29,8,2,0.17,52,29
2022/12/22,5,15,4,2,0.15,55,18
2022/12/23,8,18,13,2,0.22,49,18
2022/12/24,14,27,20,2,0.28,46,27
2022/12/25,23,40,34,2,0.46,30,40
2022/12/26,23,50,31,2,0.43,29,47
2022/12/27,11,27,14,2,0.24,45,27
2022/12/28,15,36,26,2,0.34,35,35
2022/12/29,9,21,16,2,0.26,43,22
2022/12/30,19,39,38,2,0.46,20,38
2022/12/31,24,47,37,3,0.49,24,46
2023/1/1,19,38,28,2,0.4,32,38
2023/1/2,10,21,18,2,0.25,46,22
2023/1/3,20,38,32,2,0.43,26,36
2023/1/4,41,70,45,3,0.63,17,63
2023/1/5,79,118,61,4,0.91,12,106
2023/1/6,62,115,45,3,0.69,33,103
2023/1/7,19,81,40,2,0.5,21,66
2023/1/8,25,70,32,2,0.47,31,59
2023/1/9,13,35,24,2,0.35,43,34
2023/1/10,37,69,47,3,0.6,18,60
2023/1/11,60,97,57,4,0.79,9,82
2023/1/12,87,127,58,4,0.88,6,115
2023/1/13,74,91,27,2,0.69,32,100
2023/1/14,2,9,5,2,0.11,66,21
2023/1/15,6,21,9,2,0.2,57,23
2023/1/16,18,43,22,2,0.33,40,43
2023/1/17,26,110,13,2,0.28,51,80
2023/1/18,28,89,24,2,0.37,38,70
2023/1/19,29,100,19,2,0.33,39,71
2023/1/20,9,40,6,2,0.25,54,40
2023/1/21,35,63,23,3,0.48,36,58
2023/1/22,66,114,23,3,0.54,40,93
2023/1/23,37,65,6,2,0.42,56,59
2023/1/24,7,36,5,2,0.2,57,36
