date,True AQI,Predicted AQI
2024/8/3,37.0,29.710417197557458
2024/8/4,30.0,38.78224221035228
2024/8/5,45.0,39.36623951436717
2024/8/6,50.0,52.48252173008588
2024/8/7,43.0,45.992125645055076
2024/8/8,49.0,53.769587221501354
2024/8/9,29.0,34.861103957502344
2024/8/10,27.0,27.975481055594425
2024/8/11,18.0,40.19120431812131
2024/8/12,18.0,14.581919437309091
2024/8/13,27.0,29.336047380289678
2024/8/14,43.0,41.26204957154556
2024/8/15,43.0,47.47116013468195
2024/8/16,38.0,42.25219052107459
2024/8/17,30.0,36.390428137913865
2024/8/18,26.0,30.8951136978551
2024/8/19,18.0,29.015678495586712
2024/8/20,23.0,15.617239785946907
2024/8/21,28.0,32.80379668233557
2024/8/22,42.0,35.4302265444396
2024/8/23,33.0,38.015150809331075
2024/8/24,30.0,40.644191154522524
2024/8/25,26.0,31.674778045692197
2024/8/26,21.0,25.433198240663227
2024/8/27,31.0,37.061133267311526
2024/8/28,43.0,40.891519271491795
2024/8/29,58.0,50.86372459780136
2024/8/30,52.0,54.39465820460636
2024/8/31,28.0,42.793066250785444
2024/9/1,21.0,27.57297036719408
2024/9/2,32.0,30.44224532954314
2024/9/3,58.0,43.467781886132144
2024/9/4,23.0,57.49431322724476
2024/9/5,23.0,21.315901349767543
2024/9/6,22.0,40.810042145814165
2024/9/7,26.0,26.107390186687713
2024/9/8,58.0,35.43552535522949
2024/9/9,17.0,42.03115467240938
2024/9/10,20.0,32.766932315562464
2024/9/11,26.0,22.041221443716566
2024/9/12,33.0,44.1915223875318
2024/9/13,23.0,44.83095663967931
2024/9/14,28.0,22.406700318289992
2024/9/15,40.0,51.01505361974248
2024/9/16,26.0,46.12387454057689
2024/9/17,38.0,26.99337245531634
2024/9/18,53.0,39.86499107690421
2024/9/19,31.0,61.92852087920568
2024/9/20,17.0,16.12753905563295
2024/9/21,18.0,29.394006693922805
2024/9/22,34.0,36.45227168983902
2024/9/23,56.0,53.420211753473666
2024/9/24,43.0,71.25620227904923
2024/9/25,34.0,32.7224869296234
2024/9/26,46.0,47.91696770206805
2024/9/27,52.0,56.086313024631714
2024/9/28,68.0,43.96507409990684
2024/9/29,12.0,60.266531327162056
2024/9/30,15.0,11.374782224457318
2024/10/1,18.0,31.523108839487126
2024/10/2,30.0,33.40832720287325
2024/10/3,63.0,47.80335354563519
2024/10/4,81.0,76.48979992938501
2024/10/5,81.0,80.58221961786992
2024/10/6,24.0,64.61774512156808
2024/10/7,26.0,23.356910107054194
2024/10/8,77.0,54.06708151458221
2024/10/9,22.0,90.87214255676325
2024/10/10,48.0,8.972664770033886
2024/10/11,84.0,82.48151585819619
2024/10/12,116.0,82.50185397086885
2024/10/13,120.0,60.3574869729361
2024/10/14,40.0,99.59761817766359
2024/10/15,45.0,28.78186646653197
2024/10/16,57.0,41.06764866477705
2024/10/17,38.0,57.417565302727986
2024/10/18,17.0,30.40304294759721
2024/10/19,33.0,33.13752075275088
2024/10/20,52.0,49.90190982084423
2024/10/21,26.0,55.913626445908754
2024/10/22,40.0,34.02168167977607
2024/10/23,62.0,62.87941222054765
2024/10/24,148.0,70.05893601550281
2024/10/25,201.0,134.7378003279304
2024/10/26,28.0,132.34900236271346
2024/10/27,40.0,13.743955411871934
2024/10/28,90.0,77.38225673059723
2024/10/29,89.0,104.45458591202139
2024/10/30,136.0,65.42125817851843
2024/10/31,130.0,126.95222026590739
2024/11/1,123.0,80.09251068361601
2024/11/2,71.0,92.19374303278965
2024/11/3,17.0,42.15624492147882
2024/11/4,38.0,26.74490618219986
2024/11/5,52.0,59.21705341957433
