date,True AQI,Predicted AQI (LR-GEP)
2024/11/15,70,63.06294259569997
2024/11/16,43,41.91237216619682
2024/11/17,29,30.523603473387467
2024/11/18,41,41.91237216619682
2024/11/19,57,61.435975639584335
2024/11/20,65,71.1977773762781
2024/11/21,25,26.45618608309841
2024/11/22,32,32.96405390756094
2024/11/23,51,51.67417390289058
2024/11/24,88,87.46744693743433
2024/11/25,48,44.35282260037029
2024/11/26,19,14.253933912231235
2024/11/27,19,20.761801736693705
2024/11/28,19,22.388768692809347
2024/11/29,30,30.523603473387467
2024/11/30,43,44.35282260037029
2024/12/1,51,54.11462433706405
2024/12/2,22,18.32135130252029
2024/12/3,36,37.03147129785
2024/12/4,34,35.404504341734345
2024/12/5,21,24.015735648925
2024/12/6,24,25.642702605040586
2024/12/7,17,19.134834780578117
2024/12/8,27,29.710119995329645
2024/12/9,44,45.16630607842811
2024/12/10,38,39.47192173202341
2024/12/11,39,41.09888868813905
2024/12/12,64,69.57081042016246
2024/12/13,25,28.083153039214054
2024/12/14,26,28.89663651727182
2024/12/15,34,36.21798781979217
2024/12/16,35,36.21798781979217
2024/12/17,20,21.57528521475153
2024/12/18,22,21.57528521475153
2024/12/19,44,46.793273034543695
2024/12/20,40,42.72585564425464
2024/12/21,19,21.57528521475153
2024/12/22,27,29.710119995329645
2024/12/23,40,41.09888868813905
2024/12/24,66,68.75732694210464
2024/12/25,63,65.5033930298734
2024/12/26,25,28.083153039214054
2024/12/27,19,22.388768692809347
2024/12/28,39,40.28540521008123
2024/12/29,62,68.75732694210464
2024/12/30,65,79.33261215685621
2024/12/31,47,50.860690424832754
